epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,20659.9,1.06197,0.84327,1.34679,0.70718,0.57291,0.60693,0.25597,2.05303,1.69709,2.50989,0.000363239,0.000363239,0.000363239
81,20903.2,1.05929,0.80812,1.33483,0.6617,0.6052,0.59535,0.26609,2.01773,1.54653,2.38868,0.000346736,0.000346736,0.000346736
82,21143,1.04248,0.81013,1.32377,0.70128,0.61029,0.5747,0.24479,2.05762,1.49619,2.56345,0.000330233,0.000330233,0.000330233
83,21380.7,1.00565,0.83474,1.30848,0.77939,0.56674,0.62212,0.26004,2.08742,1.50837,2.57206,0.000313729,0.000313729,0.000313729
84,21619.4,1.00191,0.79777,1.30319,0.67343,0.53349,0.53769,0.22242,2.21443,1.57454,2.80571,0.000297226,0.000297226,0.000297226
85,21858.2,1.00026,0.83478,1.31927,0.77772,0.50848,0.61348,0.24932,2.11009,1.44554,2.70485,0.000280723,0.000280723,0.000280723
86,22097.1,0.99021,0.77952,1.28988,0.76734,0.52319,0.58642,0.25783,2.04956,1.54177,2.58454,0.00026422,0.00026422,0.00026422
87,22336.1,0.96974,0.75958,1.28687,0.78305,0.46493,0.50799,0.22482,2.07916,1.75502,2.5863,0.000247716,0.000247716,0.000247716
88,22577.1,0.97098,0.77817,1.28675,0.79083,0.49887,0.55974,0.24976,2.0497,1.66372,2.54633,0.000231213,0.000231213,0.000231213
89,22816.1,0.9824,0.784,1.28531,0.82031,0.48024,0.53163,0.21719,2.16537,1.68183,2.73142,0.00021471,0.00021471,0.00021471
90,23054.5,0.94346,0.76172,1.2651,0.71036,0.48925,0.51628,0.21371,2.16433,1.84731,2.64016,0.000198206,0.000198206,0.000198206
91,23293.5,0.86405,0.5379,1.21704,0.67461,0.57584,0.53496,0.2184,2.15535,1.74451,2.62804,0.000181703,0.000181703,0.000181703
92,23532.1,0.80907,0.49194,1.16346,0.70159,0.57636,0.56733,0.23843,2.05819,1.63944,2.56231,0.0001652,0.0001652,0.0001652
93,23767,0.80458,0.48331,1.16629,0.7544,0.54242,0.58688,0.26248,2.01641,1.53913,2.5539,0.000148696,0.000148696,0.000148696
94,24002.8,0.76454,0.46416,1.14784,0.69638,0.57829,0.57706,0.25931,2.06489,1.57915,2.59034,0.000132193,0.000132193,0.000132193
95,24238.6,0.77196,0.46076,1.13496,0.66301,0.56634,0.54651,0.24816,2.08654,1.56049,2.65008,0.00011569,0.00011569,0.00011569
96,24477.4,0.74949,0.46197,1.12165,0.76272,0.54998,0.57028,0.24995,2.03999,1.56078,2.6387,9.91865e-05,9.91865e-05,9.91865e-05
97,24715.7,0.72702,0.4463,1.11432,0.74483,0.57127,0.56592,0.24771,2.10325,1.6935,2.65046,8.26832e-05,8.26832e-05,8.26832e-05
98,24951,0.72047,0.44698,1.10498,0.72335,0.57552,0.57776,0.24709,2.06385,1.61601,2.62053,6.61799e-05,6.61799e-05,6.61799e-05
99,25187.7,0.71234,0.4322,1.08428,0.67671,0.57412,0.55239,0.2414,2.10058,1.65857,2.68302,4.96766e-05,4.96766e-05,4.96766e-05
100,25460.1,0.69091,0.42711,1.09411,0.72045,0.59559,0.57647,0.25583,2.0685,1.67497,2.63046,3.31733e-05,3.31733e-05,3.31733e-05
